"id","host_id","host_name","bedrooms","bathrooms","price","availability_90","reviews_per_month"
"907503722546683909","23395016","Colleen","2","1","270.00","77",NULL
"933852334208035233","415861078","Cora","2","2","272.00","61","3.13"
"51347321","415861078","Cora","2","2","254.00","74","1.24"
"1082962133536100039","53593483","Corrie","2","1","202.00","84","2.16"
"1101152418178665215","331369073","Craig","4","3","497.00","69","2.14"
"38000793","50980594","Craig","2","2","345.00","87","3.02"
"39611455","304361766","Craig","2","2","332.00","73","4.59"
"37972845","50980594","Craig","2","1","319.00","86","6.08"
"1040780002711121842","102523144","Craig","4","1.5","291.00","72","2.23"
"35231478","102523144","Craig","3","2.5","260.00","52","1.59"
"1026468359392407742","224430489","Craig","2","1","208.00","69","9.29"
"45058760","102523144","Craig","3","2.5","168.00","6","0.31"
"944319567988880199","528105995","Crystal","2","1","280.00","28","1"
"1154172830332443551","576959302","Crystal","2","0.5","75.00","86","1"
"756352294539631701","167622589","Dairon","2","1","176.00","39","3.89"
"1145302684868112057","537963586","Daisy","3","4","528.00","34",NULL
"1068614275901023054","537963586","Daisy","2","2","239.00","57","2.01"
"1165429796501606044","537963586","Daisy","2","1","237.00","54",NULL
"1119741739863039984","537963586","Daisy","2","1","237.00","56",NULL
"1127932610908687386","537963586","Daisy","3","1","223.00","56","1.8"
"1096584052634611296","537963586","Daisy","2","2","222.00","71","2.93"
"1099581301423939376","537963586","Daisy","2","1","195.00","51","2.22"
"1138072512290593180","537963586","Daisy","2","2","187.00","76","2.31"
"1119802707501570286","537963586","Daisy","2","2","178.00","19","3.49"
"1154787083711203127","537963586","Daisy","2","2","175.00","80","1"
"1084953761853330483","537963586","Daisy","2","1","172.00","64","1.53"
"2233834","11403501","Dal","2","2","277.00","65","1.64"
"967623251094702056","482165605","Dan","3","2","253.00","10","4.3"
"839334890896040646","482165605","Dan","2","2","216.00","21","5.09"
"734947881164157265","482165605","Dan","2","2","209.00","19","4.73"
"932896432536745725","482165605","Dan","2","2","206.00","12","1.83"
"869136262031193901","482165605","Dan","2","2","199.00","19","4.25"
"1100272365427967256","482165605","Dan","2","2","190.00","38","2.57"
"1090886945062805146","482165605","Dan","2","2","189.00","46","2.4"
"1025627131447340412","482165605","Dan","2","1","176.00","50","2.94"
"911315184094782415","19563301","Daniel","3","2.5","299.00","66","0.77"
"40620613","285582071","Danyelle","3","2","257.00","60","0.89"
"1139695699677998981","479870507","Darren","3","2.5","366.00","70","2"
"38217726","102523007","David","3","2","360.00","79","0.14"
"1167807213550161621","99564546","David","2","1","220.00","89",NULL
"15554700","72422081","David","2","1","191.00","49","2.47"
"32844833","37268190","David","3","2","160.00","54","1.3"
"54054629","438069399","David","2","2","158.00","43","1.28"
"861788952343997444","209609077","David","2","1","157.00","51","1.67"
"6096812","4614808","David & Sue","3","2.5","500.00","83","0.02"
"2587898","13251310","David Andrew","2","1","80.00","87","0.03"
"15535836","99937486","Dawn","2","1","120.00","22","1.02"
"909131084085772512","5905301","Dean","4","2.5","704.00","58","4.51"
"907116531942019243","5905301","Dean","2","1","156.00","36","7.27"
"779075383479872340","250782764","Debbie","3","2","318.00","47","1.17"
"614249928869142630","28597821","Debbie","3","2.5","300.00","40","0.98"
"44646346","36231386","Debbie","2","1","139.00","32","1.44"
"17111056","31048912","Debbie","2","1","116.00","67","0.57"
"1153274967436955167","1730330","Debbie","2","1","100.00","71",NULL
"893710571295498636","29902659","Debbie Regional Escapes","2","1","176.00","39","1.49"
"964701032781544303","90588103","Deborah","2","1","169.00","9","1.71"
"701172258917360694","476631849","Dee","3","2","246.00","44","4.72"
"820002708352813947","256305889","Dhanya","3","2","214.00","18","2.02"
"1000856133230430650","49058714","Diana","2","1","221.00","58","1.3"
"1295223","7043053","Dianne","2","1","180.00","55","1.15"
"25430797","191975647","Dominic","3","2","689.00","76","0.58"
"25430633","191975647","Dominic","2","2","478.00","78","0.26"
"1049625264325144699","63013375","Dominic","4","0","390.00","65","3.06"
"729926887063066315","83525510","Dominic","2","1","150.00","61","1.25"
"1116526095744538448","198703728","Dominika","4","2","204.00","44","1"
"25433036","18174526","Dominique","3","1","314.00","87","0.42"
"51997623","18174526","Dominique","2","1","180.00","89","0.67"
"547249753086292601","361692050","Donna","4","3","893.00","7","1.22"
"782772626167988755","278183","Donna","3","1","135.00","35","0.06"
"53117371","193942114","Dora","3","2","65.00","50","0.07"
"3730528","16354288","Dr. Barbara","4","1.5","182.00","16","2.57"
"36456498","91435701","Dugald","4","1","420.00","32","3.64"
"19253297","373745","Duncan","2","2","142.00","7","0.44"
"933618108169034860","52001811","Dylan","2","2","406.00","35","2.23"
"1009610667449767839","436961638","Eadan","2","1","182.00","29","3.19"
"935249441511536104","389820851","Eddie & Chris","2","1","150.00","24","1.61"
"973723037428251914","107107579","Eddy","3","2","110.00","9",NULL
"1117080411227534639","255865082","Edie","2","1","250.00","87",NULL
"12196161","8296009","Eileen","2","1","119.00","90","0.23"
"973532002879987000","184025613","Elaine","2","2","525.00","86","0.23"
"1006757910943837870","512108093","Elaine","2","2","269.00","83","4.27"
"966470210029721594","512108093","Elaine","2","2","231.00","82","3.76"
"977837162703834630","512108093","Elaine","2","2","226.00","79","3.72"
